,SensorId, TimeStamp (s), AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),Class
40,1,0.4,0.08093061,-1.0034976,0.07839055,-0.03997286,-1.29545522,-0.12403622,-46.8284111,1.54925454,-99.73691559,0.22451328,0.22882292,-0.06661844,0.99999595,-0.0019604,-0.00199571,0.00058527,-0.00652767,0.00136174,0.00975017,2
41,1,0.41,0.06728586,-1.0091821,0.08233827,0.52229464,-1.68821216,-0.52328855,-46.8284111,1.54925454,-99.73691559,0.2285015,0.23533449,-0.08337509,0.99999565,-0.00199554,-0.00205222,0.00073168,0.00758233,0.00487206,0.01474024,2
42,1,0.42,0.05765123,-1.01562893,0.07738151,1.17558277,-2.16672707,-0.99557424,-46.71148682,0.76001167,-99.35691071,0.1744519,0.03868815,-0.11169088,0.99999839,-0.00152271,-0.00033613,0.0009752,0.01688187,-0.00041687,0.02012101,2
43,1,0.43,0.062484,-1.00716054,0.06976351,0.51314974,-2.10482335,-1.14396119,-46.47763824,1.1692487,-99.44460297,0.17814127,0.05168862,-0.13211904,0.99999809,-0.00155509,-0.00044927,0.00115366,0.00892751,-0.00666889,0.01147192,2
44,1,0.44,0.07758982,-0.99342483,0.07333349,0.18184797,-1.46589839,-0.97959566,-47.23764801,1.08155513,-99.00613403,0.1789635,0.06256557,-0.14608569,0.99999785,-0.00156244,-0.000544,0.00127569,-0.00687148,-0.00213231,-0.00088127,2
45,1,0.45,0.08284786,-0.99122995,0.07951298,0.27866068,-0.64811182,-0.93299651,-46.21455765,-0.87693655,-99.50306702,0.18132688,0.07235914,-0.15202057,0.99999768,-0.00158321,-0.00062935,0.00132763,-0.01205952,0.00415875,-0.00225001,2
46,1,0.46,0.07740774,-0.99673611,0.08410821,0.05745217,-0.26864532,-0.65790719,-46.21455765,-0.87693655,-99.50306702,0.18173003,0.07912167,-0.15423456,0.99999768,-0.00158682,-0.00068833,0.00134704,-0.0060855,0.00831625,0.00318175,2
47,1,0.47,0.06826082,-0.99906522,0.08554786,-0.37718374,0.02149408,-0.43637481,-46.88687515,-2.01695418,-99.41537476,0.29229382,0.02201172,-0.15596221,0.99999583,-0.002551,-0.00018862,0.00136151,0.00302677,0.00912403,0.00496693,2
48,1,0.48,0.06455232,-1.00499475,0.0863559,-0.21936525,0.37103426,-0.63231379,-46.79918289,1.25694239,-99.3276825,0.29038471,0.02802508,-0.15163064,0.99999589,-0.0025344,-0.00024121,0.00132384,0.00642314,0.00805656,0.01067148,2
49,1,0.49,0.06597836,-1.01343238,0.08357549,0.21179014,0.35888478,-0.86090815,-46.97456741,0.49693072,-99.8830719,0.29280186,0.03633131,-0.14754313,0.99999583,-0.00255558,-0.00031376,0.00128836,0.00570715,0.00464854,0.01896442,2
50,1,0.5,0.0644891,-1.01286244,0.07890803,-0.12445363,0.16404599,-1.12498844,-45.77608871,0.70154923,-100.3800049,0.29173702,0.04741935,-0.14495049,0.99999589,-0.0025464,-0.00041059,0.00126598,0.0073099,3.104e-05,0.0179556,2
51,1,0.51,0.06932206,-1.00321758,0.07057913,-0.33940193,0.05705811,-0.86781293,-45.77608871,0.70154923,-100.3800049,0.28843006,0.05602531,-0.14347537,0.99999601,-0.00251763,-0.00048576,0.00125328,0.00194744,-0.00753551,0.00809331,2
52,1,0.52,0.07485475,-0.99376625,0.07170907,-0.16241491,0.00658096,-0.38665649,-45.74685669,0.90616781,-99.53230286,0.23279731,0.13098685,-0.14443961,0.99999648,-0.00203298,-0.00114051,0.00126279,-0.00381588,-0.00543244,-0.00084293,2
53,1,0.53,0.0774989,-0.99286431,0.07458391,0.64354712,-0.17547196,-0.01889287,-47.0914917,1.34463608,-99.61999512,0.23908719,0.13131297,-0.14662255,0.99999642,-0.00208789,-0.00114325,0.00128191,-0.00554331,-0.00185406,-0.0013489,2
54,1,0.54,0.07439891,-0.99711889,0.07954136,0.46868268,-0.62954128,0.25982779,-47.44226837,1.2277112,-99.18152618,0.24329703,0.12920797,-0.1534123,0.99999624,-0.00212467,-0.00112471,0.00134116,-0.00214994,0.0026802,0.00302738,2
55,1,0.55,0.06880713,-1.00194359,0.08547939,-0.02781682,-1.05245018,0.35185105,-47.23764801,1.43232965,-98.8015213,0.24224377,0.12650801,-0.16412555,0.99999613,-0.00211555,-0.00110096,0.00143459,0.00374623,0.0082478,0.00786758,2
